Year,Country,t_wins,t_losses,t_other,t_sixes,t_fours,t_other_runs,t_bowler_wicket,t_fielder_wicket,t_keeper_wicket,t_sixes_given,t_fours_given,t_other_runs_given,t_bowler_wicket_given,t_fielder_wicket_given,t_keeper_wicket_given,t2_wins,t2_losses,t2_other,t2_sixes,t2_fours,t2_other_runs,t2_bowler_wicket,t2_fielder_wicket,t2_keeper_wicket,t2_sixes_given,t2_fours_given,t2_other_runs_given,t2_bowler_wicket_given,t2_fielder_wicket_given,t2_keeper_wicket_given,o_wins,o_losses,o_other,o_sixes,o_fours,o_other_runs,o_bowler_wicket,o_fielder_wicket,o_keeper_wicket,o_sixes_given,o_fours_given,o_other_runs_given,o_bowler_wicket_given,o_fielder_wicket_given,o_keeper_wicket_given,Win-Rate
2007,West Indies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,7.0,13.2,66.4,1.8,3.0,0.2,3.8,15.2,75.8,1.8,4.2,0.6,9,8,1,4.222222222222222,18.0,123.11111111111111,2.2222222222222223,4.888888888888889,0.1111111111111111,3.2222222222222223,18.11111111111111,140.27777777777777,1.7222222222222223,5.055555555555555,0.16666666666666666,0.4
2007,Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,5.222222222222222,14.555555555555555,67.11111111111111,1.5555555555555556,5.444444444444445,0.0,4.0,12.555555555555555,69.55555555555556,1.4444444444444444,2.7777777777777777,0.3333333333333333,24,8,2,4.647058823529412,22.441176470588236,127.26470588235294,2.235294117647059,5.235294117647059,0.20588235294117646,3.235294117647059,17.558823529411764,115.08823529411765,1.411764705882353,3.4705882352941178,0.14705882352941177,0.8
2007,Sri Lanka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,5.4,14.2,77.2,2.2,3.6,0.4,3.8,8.2,69.6,2.2,4.2,0.0,15,8,1,2.625,18.458333333333332,132.33333333333334,2.625,4.583333333333333,0.25,2.5833333333333335,13.458333333333334,102.16666666666667,1.6666666666666667,5.166666666666667,0.125,0.6
2007,India,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,6.142857142857143,15.428571428571429,73.42857142857143,3.4285714285714284,3.857142857142857,0.2857142857142857,5.428571428571429,14.428571428571429,72.28571428571429,1.1428571428571428,4.142857142857143,0.0,18,15,2,3.4285714285714284,22.542857142857144,125.71428571428571,2.1714285714285713,4.085714285714285,0.42857142857142855,3.4285714285714284,21.742857142857144,134.37142857142857,1.7142857142857142,4.514285714285714,0.2,0.4
2007,New Zealand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,6.5,9.25,67.625,1.25,4.5,0.375,5.125,12.75,68.5,1.75,5.625,0.0,17,14,1,4.21875,18.34375,123.15625,1.96875,4.75,0.09375,3.34375,18.84375,126.34375,1.875,4.15625,0.03125,0.2
2007,South Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,4.142857142857143,12.428571428571429,64.14285714285714,1.7142857142857142,5.142857142857143,0.0,5.571428571428571,10.571428571428571,64.14285714285714,1.8571428571428572,3.5714285714285716,0.42857142857142855,19,10,1,3.8,20.1,116.63333333333334,1.9,5.5,0.0,3.1,20.233333333333334,118.6,1.5666666666666667,3.7,0.16666666666666666,0.6
2007,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,4.375,13.625,85.125,1.5,4.125,0.25,7.25,14.625,74.0,1.875,5.375,0.125,17,16,0,2.242424242424242,17.818181818181817,138.12121212121212,1.7575757575757576,5.606060606060606,0.15151515151515152,2.090909090909091,20.21212121212121,130.45454545454547,1.9393939393939394,5.303030303030303,0.15151515151515152,0.8
2007,Pakistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,1,6.333333333333333,12.11111111111111,68.0,2.888888888888889,4.555555555555555,0.4444444444444444,3.6666666666666665,11.0,75.55555555555556,1.7777777777777777,3.888888888888889,0.3333333333333333,6,11,1,3.888888888888889,20.333333333333332,133.5,1.8333333333333333,4.055555555555555,0.2222222222222222,3.611111111111111,20.22222222222222,115.94444444444444,1.9444444444444444,5.722222222222222,0.2222222222222222,0.6
2007,Bangladesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,3.857142857142857,11.428571428571429,67.57142857142857,1.4285714285714286,3.0,0.8571428571428571,5.428571428571429,11.571428571428571,71.28571428571429,2.2857142857142856,5.142857142857143,0.14285714285714285,3,14,0,2.5294117647058822,13.235294117647058,96.17647058823529,1.588235294117647,3.7058823529411766,0.058823529411764705,3.588235294117647,15.529411764705882,118.11764705882354,2.2941176470588234,5.647058823529412,0.35294117647058826,0.0
2007,Zimbabwe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2.5,12.5,73.5,1.0,7.5,0.5,6.0,12.0,79.0,1.5,4.0,0.0,1,7,1,3.111111111111111,19.22222222222222,121.33333333333333,1.0,5.222222222222222,0.1111111111111111,6.777777777777778,20.11111111111111,136.88888888888889,2.3333333333333335,5.888888888888889,0.1111111111111111,0.2
2008,West Indies,1,5,1,4.714285714285714,60.57142857142857,276.2857142857143,3.2857142857142856,11.0,0.0,2.857142857142857,68.85714285714286,326.85714285714283,5.428571428571429,12.285714285714286,0.0,1,2,1,6.5,11.0,59.0,1.75,4.5,0.0,6.5,11.25,64.0,0.75,5.5,0.0,2,12,2,3.6875,16.0625,115.625,1.4375,4.0,0.0625,2.875,18.6875,134.9375,2.5625,5.0,0.125,0.6
2008,Australia,5,5,4,3.4285714285714284,65.57142857142857,333.92857142857144,5.428571428571429,11.071428571428571,0.0,4.142857142857143,68.57142857142857,336.92857142857144,5.357142857142857,10.5,0.35714285714285715,1,1,0,3.0,6.5,42.0,1.0,5.5,0.0,3.0,5.0,50.0,0.0,2.0,0.0,13,4,1,2.3333333333333335,16.61111111111111,142.05555555555554,2.4444444444444446,5.777777777777778,0.2222222222222222,1.5555555555555556,13.944444444444445,113.94444444444444,1.8333333333333333,4.833333333333333,0.2777777777777778,0.6
2008,Sri Lanka,3,2,0,0.8,60.8,313.8,8.6,8.6,1.0,3.0,54.4,288.2,3.6,10.4,0.2,1,1,0,2.0,11.5,77.0,1.0,4.5,0.5,3.5,9.0,79.5,4.0,2.0,1.0,12,11,2,2.04,16.12,120.56,3.16,4.24,0.32,1.96,14.76,115.52,2.08,4.88,0.12,0.8
2008,India,6,4,5,3.933333333333333,66.8,326.93333333333334,5.8,8.066666666666666,0.4,1.8,59.93333333333333,320.3333333333333,6.533333333333333,9.133333333333333,0.4,0,1,0,0.0,3.0,62.0,0.0,1.0,0.0,2.0,4.0,47.0,2.0,8.0,0.0,19,7,2,3.7142857142857144,21.642857142857142,133.57142857142858,1.8214285714285714,4.892857142857143,0.39285714285714285,2.392857142857143,19.214285714285715,124.46428571428571,2.1785714285714284,4.392857142857143,0.10714285714285714,0.4
2008,New Zealand,3,6,2,4.2727272727272725,59.0,200.8181818181818,4.454545454545454,10.454545454545455,0.09090909090909091,2.4545454545454546,52.36363636363637,214.45454545454547,6.181818181818182,9.727272727272727,0.0,1,3,1,6.2,12.0,70.6,1.2,5.2,0.0,6.8,16.8,59.8,3.2,5.2,0.2,6,2,3,4.090909090909091,16.0,102.0909090909091,1.9090909090909092,5.7272727272727275,0.09090909090909091,3.6363636363636362,18.09090909090909,116.45454545454545,0.7272727272727273,4.7272727272727275,0.09090909090909091,0.4
2008,South Africa,11,2,2,1.8666666666666667,63.2,286.6,4.333333333333333,12.133333333333333,0.13333333333333333,2.8666666666666667,59.2,238.8,4.6,7.2,0.13333333333333333,2,0,0,3.0,10.0,68.0,2.0,5.0,0.5,2.5,11.0,61.0,3.0,3.5,0.0,10,4,1,1.9333333333333333,19.0,111.46666666666667,2.1333333333333333,4.866666666666666,0.0,2.6666666666666665,16.6,106.93333333333334,1.4666666666666666,3.6,0.06666666666666667,0.6
2008,England,5,4,3,2.0,59.083333333333336,269.6666666666667,5.916666666666667,10.333333333333334,0.0,4.083333333333333,67.83333333333333,267.75,4.416666666666667,10.083333333333334,0.0,3,0,0,6.333333333333333,18.333333333333332,56.666666666666664,3.6666666666666665,5.0,0.3333333333333333,4.333333333333333,11.333333333333334,68.0,1.3333333333333333,4.333333333333333,0.0,6,11,3,3.5,18.95,110.0,1.35,4.7,0.1,4.0,19.1,105.1,1.8,4.7,0.25,0.4
